date,daily_return,growth_of_1,drawdown
2021-01-05,1.8034814779237396e-05,1.0000180348147791,0.0
2021-01-06,0.0029741329493443145,1.0029922214020603,0.0
2021-01-07,0.006093948713540477,1.0091044045593647,0.0
2021-01-08,-0.0016878601426626508,1.0074011774551237,-0.001687860142662534
2021-01-11,-0.0014095718597023905,1.0059811731039519,-0.003095052842204793
2021-01-12,0.0020348890747891955,1.0080282332025448,-0.0010664618566300632
2021-01-13,-0.003631952287753347,1.0043671227548447,-0.004694540805803449
2021-01-14,0.0020265596055996106,1.0064025325950121,-0.002677494966967675
2021-01-15,-0.006368345260266063,0.9999934137966409,-0.00902878901485149
2021-01-19,0.004461519115918456,1.0044549035280872,-0.004607552013716321
2021-01-20,0.017685348793916682,1.0222190388447412,0.0
2021-01-21,-0.007869143863956271,1.0141750501675968,-0.007869143863956318
2021-01-22,0.0006455970591421887,1.0148297985974404,-0.007228627100950624
2021-01-25,0.003015628462040148,1.0178901482222174,-0.004234797492537523
2021-01-26,0.0020674325027917645,1.0199945673989235,-0.002176120147724614
2021-01-27,-0.016526562007618446,1.0031375639333713,-0.018666718370785595
2021-01-28,-0.00018379051017075764,1.0029531967687244,-0.01884707811526387
2021-01-29,-0.011785341491914406,0.9911330508443977,-0.030410300355465103
2021-02-01,0.001836476248836915,0.9929532431517109,-0.028629671900950893
2021-02-02,0.005770678749472784,0.9986832573311865,-0.023024205790721397
2021-02-03,0.002268206027059128,1.0009484767145882,-0.020808223406004966
2021-02-04,0.006517811280905648,1.007472469987724,-0.014426036198350367
2021-02-05,0.013246492834068258,1.0208179468419374,-0.0013706377494075994
2021-02-08,0.005508236900650571,1.0264408539255785,0.0
2021-02-09,0.001939095796387841,1.0284312210706663,0.0
2021-02-10,-0.006352414281773743,1.021898199894115,-0.006352414281773688
2021-02-11,-0.007544486484735622,1.0141885027362383,-0.013848975062815017
2021-02-12,0.00518585176300853,1.019447933971176,-0.008734942031551896
2021-02-16,-0.004263492317308696,1.0151015255367937,-0.012961192990616821
2021-02-17,0.005315133428733765,1.020496925588733,-0.007714950032023604
2021-02-18,-0.021263825065308724,0.9987972574833288,-0.028814725749463865
2021-02-19,-0.005539547615833679,0.9932643725169359,-0.03419465281997114
2021-02-22,0.0003519491904329067,0.9936139511087291,-0.033854738409915375
2021-02-23,-0.007925882261049377,0.9857386839193052,-0.041512292000349116
2021-02-24,-0.0028055943766246245,0.9829731010108799,-0.04420141972397673
2021-02-25,-0.005165781539880898,0.9778952767114784,-0.049138866385811
2021-02-26,-0.018336893210221254,0.9599637154516402,-0.06657470545064437
2021-03-01,0.00887265956378846,0.968481146692432,-0.05829274058387901
2021-03-02,0.010051498401381977,0.9782158333901796,-0.04882717157128813
