rebalance_date,effective_date,estimation_end,ticker,asset_class,sector,base_weight,sentiment_lag1,rolling_mean,rolling_std,z_score,signal_available,sentiment_source_date,lambda,raw_tilted_weight,weight,variant
2021-01-04,2021-01-05,2021-01-04,ABBV,equity,Healthcare,0.16317432590293374,0.1792875,0.12568217983451732,0.13260773364358694,0.40423977314595394,True,2021-01-04,0.0,0.16317432590293374,0.16317432590293374,base
2021-01-04,2021-01-05,2021-01-04,ABT,equity,Healthcare,0.0,0.1792875,0.12568217983451732,0.13260773364358694,0.40423977314595394,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,ADBE,equity,Tech,2.0360744686458523e-17,0.21894999999999998,0.14494448705183707,0.10548956607513925,0.7015434388596258,True,2021-01-04,0.0,2.0360744686458523e-17,2.0360744686458523e-17,base
2021-01-04,2021-01-05,2021-01-04,AEP,equity,Utilities,0.0,0.196125,0.20402344264749928,0.16097514579822195,-0.049066224530088444,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,AMD,equity,Tech,0.0,0.21894999999999998,0.14494448705183707,0.10548956607513925,0.7015434388596258,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,AMGN,equity,Healthcare,2.9230850004301415e-17,0.1792875,0.12568217983451732,0.13260773364358694,0.40423977314595394,True,2021-01-04,0.0,2.9230850004301415e-17,2.9230850004301415e-17,base
2021-01-04,2021-01-05,2021-01-04,AMT,equity,RealEstate,0.0,0.0,0.118465,0.1615058577484956,-0.733502806966167,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,BA,equity,Industrials,0.0,0.09613194444444445,0.1289535551309121,0.10541806609948545,-0.31134711440725116,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,CAT,equity,Industrials,6.849666048911445e-18,0.09613194444444445,0.1289535551309121,0.10541806609948545,-0.31134711440725116,True,2021-01-04,0.0,6.849666048911445e-18,6.849666048911445e-18,base
2021-01-04,2021-01-05,2021-01-04,CCI,equity,RealEstate,0.0,0.0,0.118465,0.1615058577484956,-0.733502806966167,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,CMCSA,equity,Comm,2.166691279730901e-17,0.029888888888888885,0.10462215525610917,0.12765379573658875,-0.5854370873658234,True,2021-01-04,0.0,2.166691279730901e-17,2.166691279730901e-17,base
2021-01-04,2021-01-05,2021-01-04,COP,equity,Energy,8.525991178021409e-18,0.08294791666666666,0.10068816151739034,0.13192194559990653,-0.13447531242850502,True,2021-01-04,0.0,8.525991178021409e-18,8.525991178021409e-18,base
2021-01-04,2021-01-05,2021-01-04,CVX,equity,Energy,0.0,0.08294791666666666,0.10068816151739034,0.13192194559990653,-0.13447531242850502,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,D,equity,Utilities,1.840953746163749e-17,0.196125,0.20402344264749928,0.16097514579822195,-0.049066224530088444,True,2021-01-04,0.0,1.840953746163749e-17,1.840953746163749e-17,base
2021-01-04,2021-01-05,2021-01-04,DD,equity,Materials,1.7919539571580723e-18,0.14986666666666668,0.17496778911564626,0.18088382123065086,-0.1387693066090876,True,2021-01-04,0.0,1.7919539571580723e-18,1.7919539571580723e-18,base
2021-01-04,2021-01-05,2021-01-04,DIS,equity,Consumer,0.0,0.09742533333333334,0.14740496056296498,0.09565788505127494,-0.5224830885905679,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,DOW,equity,Materials,0.0,0.14986666666666668,0.17496778911564626,0.18088382123065086,-0.1387693066090876,True,2021-01-04,0.0,0.0,0.0,base
2021-01-04,2021-01-05,2021-01-04,DUK,equity,Utilities,1.612964795259989e-17,0.196125,0.20402344264749928,0.16097514579822195,-0.049066224530088444,True,2021-01-04,0.0,1.612964795259989e-17,1.612964795259989e-17,base
2021-01-04,2021-01-05,2021-01-04,EA,equity,Comm,0.07393435390443762,0.029888888888888885,0.10462215525610917,0.12765379573658875,-0.5854370873658234,True,2021-01-04,0.0,0.07393435390443762,0.07393435390443762,base
