date,variant,daily_return,growth_of_1,drawdown
2023-09-13,base,0.00015729137658566786,1.1647430582062892,-0.04583073900541368
2023-09-14,base,0.010189459465389848,1.1766111603854763,-0.036108269997388476
2023-09-15,base,-0.007382232263404975,1.1679251435157962,-0.04322394262504292
2023-09-18,base,-0.0003831522573562531,1.167477650360635,-0.04359053353121067
2023-09-19,base,-0.00043278869628819364,1.1669723792303899,-0.04400445673732134
2023-09-20,base,0.0014090852287337668,1.1686167427723038,-0.04265737753857446
2023-09-21,base,-0.011653711543682803,1.1549980203469172,-0.0538139723092127
2023-09-22,base,-9.358030035691728e-05,1.1548899352852615,-0.05390251668187762
2023-09-25,base,-0.00046478611038298,1.1543531584843199,-0.054342249651192054
2023-09-26,base,-0.005920925321760789,1.1475183196379954,-0.0599414185709517
2023-09-27,base,-0.009038489908402133,1.1371464868862409,-0.06843812857250497
2023-09-28,base,0.0016450457603297648,1.139017144893367,-0.0669056666654283
2023-09-29,base,-0.0066617898628106775,1.1314292520239488,-0.07312174503628266
2023-10-02,base,-0.009669553196478622,1.1204888366834511,-0.08208424362931366
2023-10-03,base,-0.008341149372274283,1.1111426719267086,-0.08974071606436573
2023-10-04,base,0.007515523406925788,1.1194934906860077,-0.08289964110957604
2023-10-05,base,-0.003269124970165895,1.115833726561668,-0.08589775679297273
2023-10-06,base,0.005525973187234329,1.1219997938160595,-0.08084645230662002
2023-10-09,base,0.004330001718006485,1.126858054850886,-0.07686651586599591
2023-10-10,base,0.011203644656919542,1.1394829720762227,-0.0665240563388545
2023-10-11,base,0.0047150920402950144,1.144855739167911,-0.06212263134709095
2023-10-12,base,-0.0022268114375556852,1.1423063613135807,-0.0642111073986319
2023-10-13,base,0.0035617652692238704,1.146374988438121,-0.060878047021638904
2023-10-16,base,0.007332236459842217,1.1547804809249982,-0.053992182797772625
2023-10-17,base,0.0060196900563427615,1.161731901503281,-0.048297508947337975
2023-10-18,base,-0.008694198213005938,1.151631574081239,-0.05657179904436138
2023-10-19,base,-0.010582024128644556,1.1394449809770026,-0.06655517903051755
2023-10-20,base,-0.0031969331985395163,1.135802251489408,-0.06953933976767979
2023-10-23,base,-0.002401862721544635,1.133074210402509,-0.0717741785413556
2023-10-24,base,0.011211161847043601,1.1457772887600428,-0.06136768862637765
2023-10-25,base,-0.008175396326726854,1.136410105322267,-0.06904137977692859
2023-10-26,base,-0.0017039631039159043,1.134473704431881,-0.070627698917061
2023-10-27,base,-0.011326785555318812,1.1216237640636328,-0.08115449967248067
2023-10-30,base,0.008352449495253366,1.1309920699056504,-0.07347988903705416
2023-10-31,base,0.002416650500876102,1.1337252824578747,-0.07124081374682378
2023-11-01,base,0.005623667683705434,1.1401009766910328,-0.0660177807251473
2023-11-02,base,0.012566536898941499,1.15442809768314,-0.054280858703674606
2023-11-03,base,0.003691990065914263,1.1586902347515984,-0.0507892730288636
2023-11-06,base,-0.004108352350147353,1.1539299270025638,-0.054688965149800595
2023-11-07,base,-0.0008014167782290613,1.1530051481981634,-0.05544655327377468
2023-11-08,base,-0.0068167737676057966,1.1451453729500116,-0.0618853604315196
2023-11-09,base,-0.012991228373648403,1.1302685278889912,-0.07407262195481668
2023-11-10,base,0.005756655980836998,1.1367750949700153,-0.0687423765761721
2023-11-13,base,0.0027475991487673,1.1398984972532948,-0.06618365392276959
2023-11-14,base,0.010100245462070598,1.1514117518773985,-0.056751879610895783
2023-11-15,base,0.004138728868183559,1.1561771329340593,-0.05284803138518146
2023-11-16,base,-0.015915732861273284,1.137775726545968,-0.067922649096684
2023-11-17,base,-0.0004230892157030774,1.1372943459061777,-0.06831700097205229
2023-11-20,base,0.004607204032912982,1.142534093003246,-0.06402454730153417
2023-11-21,base,0.00171314540409766,1.1444914200336993,-0.06242108525639556
2023-11-22,base,0.0005020339581032519,1.145065993591314,-0.0619503888027928
2023-11-24,base,0.0027898429997722696,1.148260547937812,-0.059333377661555
2023-11-27,base,0.0022311372915479253,1.1508224748667295,-0.05723462128154111
2023-11-28,base,0.005139534709523897,1.1567371669208073,-0.05238924589468019
2023-11-29,base,0.0004316014026709319,1.1572364163045719,-0.05198025576402232
2023-11-30,base,0.008758715865317925,1.1673723212639824,-0.043676820189547994
2023-12-01,base,0.006177721414941405,1.1745840222522648,-0.03776892200202808
2023-12-04,base,0.004075848828144906,1.1793714491629195,-0.03384701359036535
2023-12-05,base,0.0030638291703408834,1.182984841811532,-0.030886885887591586
2023-12-06,base,-0.0013699591255668772,1.181364200932085,-0.032214531241976374
2023-12-07,base,-0.004172119267701417,1.1764354085872035,-0.036252247643183244
2023-12-08,base,-0.00018214637597895327,1.176221125140956,-0.0364277908036329
2023-12-11,base,0.004793973446102628,1.1818598979816268,-0.03180845121934306
2023-12-12,base,0.0026022069008609814,1.1849353419640054,-0.029289016489750797
2023-12-13,base,0.021456754919872,1.210360209192422,-0.008460708818543328
2023-12-14,base,-1.1153963993659494e-05,1.2103467088782291,-0.008471768412095515
2023-12-15,base,-0.006574093684245606,1.2023897762236453,-0.014990167897128814
2023-12-18,base,0.0019451104442433085,1.2047285571354294,-0.013074214985023147
2023-12-19,base,0.0043017212277758725,1.2099109635433667,-0.008828735385384756
2023-12-20,base,-0.013512682489976224,1.193561820851864,-0.02222211797731033
2023-12-21,base,0.008231920506423813,1.2033871268806189,-0.01417312817956018
2023-12-22,base,0.00932807340272907,1.2146124103320604,-0.004977262756836409
