date,fund_id,asset_family,method,daily_return,growth_of_1,drawdown
2021-01-08,equity_equal_weight,equity,equal_weight,0.002673670669905887,1.0391426028164403,0.0
2021-01-08,equity_max_sharpe,equity,max_sharpe,-0.0035940655355555305,1.012553705880311,-0.003594065535555524
2021-01-08,equity_min_variance,equity,min_variance,-0.002352352422538856,1.0109687743240872,-0.0023523524225387282
2021-01-08,equity_risk_parity,equity,risk_parity,0.002729591264902552,1.031413233238355,0.0
2021-01-09,crypto_equal_weight,crypto,equal_weight,0.08079324512411686,1.5842283465584346,0.0
2021-01-09,crypto_max_sharpe,crypto,max_sharpe,0.02161257185181626,1.5553060004466361,0.0
2021-01-09,crypto_min_variance,crypto,min_variance,-0.006784785213371394,1.3649180519876754,-0.006784785213371336
2021-01-09,crypto_risk_parity,crypto,risk_parity,0.0762532996146708,1.5677964607250938,0.0
2021-01-10,crypto_equal_weight,crypto,equal_weight,-0.02993225363407957,1.536808821874949,-0.029932253634079586
2021-01-10,crypto_max_sharpe,crypto,max_sharpe,-0.04082743694331119,1.4918068427858477,-0.040827436943311035
2021-01-10,crypto_min_variance,crypto,min_variance,-0.04554360617378094,1.3027547617684645,-0.05201938780142079
2021-01-10,crypto_risk_parity,crypto,risk_parity,-0.030020601219186947,1.5207302683848132,-0.030020601219186926
2021-01-11,combined_equal_weight,combined,equal_weight,-0.023191232733913065,1.0462147193851743,-0.023191232733912992
2021-01-11,combined_max_sharpe,combined,max_sharpe,-0.047236209735857994,1.1818921707423846,-0.04723620973585796
2021-01-11,combined_min_variance,combined,min_variance,0.0003508812884351231,1.011323514326169,-0.0020022968389270535
2021-01-11,combined_risk_parity,combined,risk_parity,-0.017407941652815853,1.0359617329871627,-0.017407941652815895
2021-01-11,crypto_equal_weight,crypto,equal_weight,-0.1272576204591892,1.3412381881024529,-0.15338076672081502
2021-01-11,crypto_max_sharpe,crypto,max_sharpe,-0.09953667400216057,1.3433173514012804,-0.13630028366410152
2021-01-11,crypto_min_variance,crypto,min_variance,-0.0759675729546537,1.203787644361796,-0.12403517411821363
2021-01-11,crypto_risk_parity,crypto,risk_parity,-0.12570494162698503,1.3295669587671108,-0.1519518049223071
2021-01-11,equity_equal_weight,equity,equal_weight,0.00015832434457196254,1.0393071243879481,0.0
2021-01-11,equity_max_sharpe,equity,max_sharpe,-0.0032111154074738347,1.009302279074464,-0.00679363998381266
2021-01-11,equity_min_variance,equity,min_variance,0.0003508790488811621,1.0113235020860705,-0.0020022987648383728
2021-01-11,equity_risk_parity,equity,risk_parity,-0.0008654818886232073,1.0305205637653008,-0.0008654818886233429
