date,daily_return,growth_of_1,drawdown
2021-01-05,0.00267264759709077,1.0026726475970908,0.0
2021-01-06,0.009848209692162596,1.012547178083223,0.0
2021-01-07,0.0068344601487100925,1.0194673914205215,0.0
2021-01-08,-0.0030666130631388793,1.0163410794005472,-0.0030666130631388233
2021-01-11,0.0027244900717063618,1.0191100905808412,-0.0003504779482768061
2021-01-12,0.0004790019187482388,1.0195982462696451,0.0
2021-01-13,0.0010601600999231484,1.0206791836482918,0.0
2021-01-14,0.006256366376099801,1.0270649265736538,0.0
2021-01-15,-0.003635089779282418,1.0233314533564064,-0.0036350897792825076
2021-01-19,0.016676288614326688,1.0403968240206964,0.0
2021-01-20,0.01180715443118848,1.0526809499916268,0.0
2021-01-21,-0.011289979959560222,1.0407962031624105,-0.011289979959560159
2021-01-22,-0.0019630560469624044,1.038753061882137,-0.013230873143092903
2021-01-25,0.0038022512388739787,1.0427026619985624,-0.009478929008018722
2021-01-26,-0.007075553112756053,1.0353249639327795,-0.0164874134551265
2021-01-27,-0.028507686843456576,1.0058102440797707,-0.044525082278945805
2021-01-28,0.0026827145195095366,1.008508545825435,-0.041961815844148265
2021-01-29,-0.008580409151718591,0.9998551298692481,-0.05018217544717507
2021-02-01,-0.0011323133260232043,0.9987229805816044,-0.05125766682721067
2021-02-02,0.00915133299913773,1.007862627150798,-0.04257540980596752
2021-02-03,-0.012019969692419391,0.9957481489183232,-0.05408362436287695
2021-02-04,-0.002177636221752836,0.9935797716814954,-0.05614348612521347
2021-02-05,0.016485867914318778,1.0099597965597755,-0.04058319230740426
2021-02-08,0.003789885316375981,1.0137874283628876,-0.03694711263564565
2021-02-09,-0.0012838994082234162,1.0124858272835482,-0.0381835756678206
2021-02-10,-0.007391767785350006,1.0050017671623102,-0.0452930993286198
2021-02-11,-0.0012357544848042874,1.003759831721303,-0.04647288266279814
2021-02-12,0.003997142695670139,1.007772003000875,-0.0426614987106102
2021-02-16,-0.013205574450333482,0.9944637947862853,-0.05530370356355785
2021-02-17,0.006205424825800981,1.0006348651068124,-0.04944146171280894
