date,sentiment,n_tickers,n_headlines,index_0_100,standardised_sentiment,news_available,model
2020-01-02,0.11998815910585141,39,138,55.99940795529257,-0.03350867501133214,True,vader_finance_enhanced
2020-01-03,-0.012318523600055862,31,91,49.38407381999721,-2.927262754616409,True,vader_finance_enhanced
2020-01-06,0.11747314280762809,42,164,55.873657140381404,-0.08851601496130457,True,vader_finance_enhanced
2020-01-07,0.13817377801120448,34,105,56.90868890056022,0.3642392529182301,True,vader_finance_enhanced
2020-01-08,0.11661381553631554,33,116,55.83069077681577,-0.10731084638039479,True,vader_finance_enhanced
2020-01-09,0.15904085515873018,40,98,57.9520427579365,0.8206348664286148,True,vader_finance_enhanced
2020-01-10,0.08836392857142858,42,103,54.41819642857143,-0.7251800573765981,True,vader_finance_enhanced
2020-01-13,0.1341847196115288,38,181,56.709235980576445,0.2769923067945557,True,vader_finance_enhanced
2020-01-14,0.1664561544011544,33,126,58.322807720057725,0.9828190584543098,True,vader_finance_enhanced
2020-01-15,0.08034026598026597,37,152,54.01701329901329,-0.9006701073248821,True,vader_finance_enhanced
2020-01-16,0.1816648585948586,37,144,59.08324292974293,1.3154572057190612,True,vader_finance_enhanced
2020-01-17,0.15384717329678868,39,165,57.69235866483944,0.7070409211433926,True,vader_finance_enhanced
2020-01-21,0.10254258369408369,45,241,55.12712918470418,-0.41507069430158583,True,vader_finance_enhanced
2020-01-22,0.08808326058201059,36,119,54.40416302910053,-0.7313187052723978,True,vader_finance_enhanced
2020-01-23,0.08419977628249367,46,166,54.209988814124685,-0.81625658070677,True,vader_finance_enhanced
2020-01-24,0.12143826439736734,40,182,56.071913219868364,-0.0017926043083231564,True,vader_finance_enhanced
2020-01-27,0.03967075212255445,43,202,51.983537606127726,-1.7901759828739288,True,vader_finance_enhanced
2020-01-28,0.10244718723584108,39,178,55.12235936179205,-0.4171571640442597,True,vader_finance_enhanced
2020-01-29,0.13280892063492064,40,175,56.64044603174603,0.246901431414316,True,vader_finance_enhanced
2020-01-30,0.07321642228604727,40,182,53.66082111430236,-1.056479710672256,True,vader_finance_enhanced
2020-01-31,0.09287086192939852,41,177,54.64354309646993,-0.6266063759539936,True,vader_finance_enhanced
2020-02-03,0.13464838043676752,42,196,56.732419021838375,0.28713329421217526,True,vader_finance_enhanced
2020-02-04,0.13731866399383444,44,174,56.86593319969172,0.34553657195242915,True,vader_finance_enhanced
2020-02-05,0.10430718881427214,39,201,55.215359440713605,-0.37647602046498324,True,vader_finance_enhanced
2020-02-06,0.20081683360951216,42,151,60.04084168047561,1.7343408531485633,True,vader_finance_enhanced
2020-02-07,0.14826260617760617,37,124,57.41313030888031,0.5848977039342952,True,vader_finance_enhanced
2020-02-10,0.12595654761904762,43,172,56.297827380952384,0.09702931638491423,True,vader_finance_enhanced
2020-02-11,0.09393649954660356,41,190,54.69682497733018,-0.6032992145990211,True,vader_finance_enhanced
2020-02-12,0.14195026221599752,42,130,57.09751311079988,0.4468368689318925,True,vader_finance_enhanced
2020-02-13,0.08415991556126583,44,191,54.20799577806329,-0.8171283970225449,True,vader_finance_enhanced
2020-02-14,0.1475417553036908,37,146,57.37708776518454,0.5691315679045965,True,vader_finance_enhanced
2020-02-18,0.09678179764498393,45,253,54.83908988224919,-0.541068095115945,True,vader_finance_enhanced
2020-02-19,0.14403627525252524,40,129,57.201813762626266,0.49246123658367064,True,vader_finance_enhanced
2020-02-20,0.11918581040042578,39,193,55.959290520021284,-0.0510572960794923,True,vader_finance_enhanced
2020-02-21,0.07689676686507937,40,124,53.84483834325396,-0.975984818637214,True,vader_finance_enhanced
2020-02-24,0.02790370644823586,45,192,51.3951853224118,-2.047539675535224,True,vader_finance_enhanced
2020-02-25,0.12624681276088254,43,150,56.31234063804412,0.10337786901410378,True,vader_finance_enhanced
2020-02-26,0.12799893357342937,42,189,56.39994667867146,0.14169949151701594,True,vader_finance_enhanced
2020-02-27,0.0995440983436853,46,211,54.97720491718427,-0.48065225857251875,True,vader_finance_enhanced
2020-02-28,0.013554222960502028,43,176,50.677711148025104,-2.3613853221315884,True,vader_finance_enhanced
2020-03-02,0.13192676254301253,44,197,56.596338127150624,0.22760725424119457,True,vader_finance_enhanced
2020-03-03,0.12199785074004588,41,149,56.09989253700229,0.010446424204066626,True,vader_finance_enhanced
2020-03-04,0.2824067586580087,44,146,64.12033793290044,3.5188401213266305,True,vader_finance_enhanced
2020-03-05,0.13097430970192597,43,140,56.5487154850963,0.20677562096192859,True,vader_finance_enhanced
2020-03-06,0.03983253435753436,37,153,51.99162671787671,-1.7866375523660654,True,vader_finance_enhanced
2020-03-09,0.0034137559199000846,46,230,50.17068779599501,-2.583173196090071,True,vader_finance_enhanced
2020-03-10,0.04114197458661437,43,172,52.05709872933072,-1.7579980465799372,True,vader_finance_enhanced
2020-03-11,0.11583658414502165,44,163,55.791829207251084,-0.12431011250479142,True,vader_finance_enhanced
2020-03-12,-0.03282879452418927,44,218,48.35856027379054,-3.375854457973102,True,vader_finance_enhanced
2020-03-13,0.033970754195987336,41,172,51.69853770979936,-1.9148438523753355,True,vader_finance_enhanced
2020-03-16,0.019361927957261073,45,262,50.96809639786305,-2.23436173055027,True,vader_finance_enhanced
2020-03-17,0.1044343150037793,42,164,55.22171575018896,-0.37369557187397234,True,vader_finance_enhanced
2020-03-18,0.02735388981276177,41,168,51.367694490638094,-2.059565025271144,True,vader_finance_enhanced
2020-03-19,0.024684714912280702,38,156,51.23423574561403,-2.1179440549579165,True,vader_finance_enhanced
2020-03-20,0.052963084311521816,40,181,52.64815421557609,-1.4994518885756078,True,vader_finance_enhanced
