fund_id,asset_family,method,rebalance_date,effective_date,estimation_start,estimation_end,n_estimation_observations,turnover
crypto_equal_weight,crypto,equal_weight,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.1647284381912224
crypto_max_sharpe,crypto,max_sharpe,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.30139234891842726
crypto_min_variance,crypto,min_variance,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.21653452765167294
crypto_risk_parity,crypto,risk_parity,2021-05-01,2021-05-02,2020-01-02,2021-05-01,486,0.1739364430735696
combined_equal_weight,combined,equal_weight,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.08147208777384954
combined_max_sharpe,combined,max_sharpe,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.2004307914373083
combined_min_variance,combined,min_variance,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.019580995337744225
combined_risk_parity,combined,risk_parity,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.06309050986767085
equity_equal_weight,equity,equal_weight,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.020044968842057646
equity_max_sharpe,equity,max_sharpe,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.25665988747566487
equity_min_variance,equity,min_variance,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.019580994539441333
equity_risk_parity,equity,risk_parity,2021-05-03,2021-05-04,2020-01-03,2021-05-03,335,0.01912561488226972
combined_equal_weight,combined,equal_weight,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.04298577977162354
combined_max_sharpe,combined,max_sharpe,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.24294033915487143
combined_min_variance,combined,min_variance,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.024441459788170524
combined_risk_parity,combined,risk_parity,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.03497453250012193
crypto_equal_weight,crypto,equal_weight,2021-06-01,2021-06-02,2020-01-02,2021-06-01,517,0.14060192666060828
crypto_max_sharpe,crypto,max_sharpe,2021-06-01,2021-06-02,2020-01-02,2021-06-01,517,0.13877202501276525
crypto_min_variance,crypto,min_variance,2021-06-01,2021-06-02,2020-01-02,2021-06-01,517,0.12660967910632664
crypto_risk_parity,crypto,risk_parity,2021-06-01,2021-06-02,2020-01-02,2021-06-01,517,0.15075681116027892
equity_equal_weight,equity,equal_weight,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.024147213172012814
equity_max_sharpe,equity,max_sharpe,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.20518387359963114
equity_min_variance,equity,min_variance,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.024441459894541297
equity_risk_parity,equity,risk_parity,2021-06-01,2021-06-02,2020-01-03,2021-06-01,355,0.023596303524367472
combined_equal_weight,combined,equal_weight,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.05409207347767034
combined_max_sharpe,combined,max_sharpe,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.23942822986651513
combined_min_variance,combined,min_variance,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.024623630000114898
combined_risk_parity,combined,risk_parity,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.0374809716890043
crypto_equal_weight,crypto,equal_weight,2021-07-01,2021-07-02,2020-01-02,2021-07-01,547,0.048399392835868964
crypto_max_sharpe,crypto,max_sharpe,2021-07-01,2021-07-02,2020-01-02,2021-07-01,547,0.03628907175307086
crypto_min_variance,crypto,min_variance,2021-07-01,2021-07-02,2020-01-02,2021-07-01,547,0.006890276395017516
crypto_risk_parity,crypto,risk_parity,2021-07-01,2021-07-02,2020-01-02,2021-07-01,547,0.051588571098900894
equity_equal_weight,equity,equal_weight,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.027656326280413014
equity_max_sharpe,equity,max_sharpe,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.2106480319974184
equity_min_variance,equity,min_variance,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.024623630530424098
equity_risk_parity,equity,risk_parity,2021-07-01,2021-07-02,2020-01-03,2021-07-01,377,0.025739702953473814
crypto_equal_weight,crypto,equal_weight,2021-08-01,2021-08-02,2020-01-02,2021-08-01,578,0.033554899911156136
crypto_max_sharpe,crypto,max_sharpe,2021-08-01,2021-08-02,2020-01-02,2021-08-01,578,0.05830557961756717
crypto_min_variance,crypto,min_variance,2021-08-01,2021-08-02,2020-01-02,2021-08-01,578,0.008303525989744015
crypto_risk_parity,crypto,risk_parity,2021-08-01,2021-08-02,2020-01-02,2021-08-01,578,0.0378940772188028
combined_equal_weight,combined,equal_weight,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.027693399732121926
combined_max_sharpe,combined,max_sharpe,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.1395076564624885
combined_min_variance,combined,min_variance,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.014378844495609456
combined_risk_parity,combined,risk_parity,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.022672304822962612
equity_equal_weight,equity,equal_weight,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.024024610762377382
equity_max_sharpe,equity,max_sharpe,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.14066970664762316
equity_min_variance,equity,min_variance,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.014378844850975158
equity_risk_parity,equity,risk_parity,2021-08-02,2021-08-03,2020-01-03,2021-08-02,398,0.020147866107883747
combined_equal_weight,combined,equal_weight,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.04654288163492032
combined_max_sharpe,combined,max_sharpe,2021-09-01,2021-09-02,2020-01-03,2021-09-01,420,0.1281686860928679
