variant,lambda,final_growth_of_1,annualised_return,annualised_volatility,sharpe,max_drawdown
base,0.0,1.2222318287572964,0.06956140740005878,0.12794254006288777,0.5896130116650651,-0.18313016101253787
momentum,1.0,1.252788829802608,0.07844872120923796,0.13634299216678875,0.6221767775554293,-0.20377198425122156
contrarian,-1.0,1.3294147859184386,0.10011838971627252,0.14108764152293896,0.7468606531805281,-0.1675266339284336
