fund_id,asset_family,method,annualised_return,annualised_volatility,sharpe,max_drawdown,turnover,first_oos_date,last_oos_date,n_oos_days,n_rebalances
combined_equal_weight,combined,equal_weight,0.15150859154527674,0.21264207071580454,0.7699754487483621,-0.2874698799026556,0.0,2021-01-05,2023-12-29,752,36
combined_max_sharpe,combined,max_sharpe,0.09500945663684313,0.35126566617966665,0.4332763325008089,-0.5351229831854516,0.18037654730506514,2021-01-05,2023-12-29,752,36
combined_min_variance,combined,min_variance,0.06956139914045045,0.12794254124460683,0.5896129470345468,-0.18313016041902797,0.022335041397283137,2021-01-05,2023-12-29,752,36
combined_risk_parity,combined,risk_parity,0.13034592614079465,0.17243828548937135,0.7968958978711992,-0.22935395520884883,0.00316288997180268,2021-01-05,2023-12-29,752,36
crypto_equal_weight,crypto,equal_weight,0.33720509153527467,0.8045696048275062,0.7680694513688303,-0.8159730614257941,0.0,2021-01-02,2023-12-31,1094,36
crypto_max_sharpe,crypto,max_sharpe,0.09884454434167833,0.7904544325447163,0.5177324889506573,-0.8515210373101663,0.10757383762693415,2021-01-02,2023-12-31,1094,36
crypto_min_variance,crypto,min_variance,0.2393963195346558,0.6431357686499893,0.6558650393423227,-0.7556811881987882,0.012695372528179151,2021-01-02,2023-12-31,1094,36
crypto_risk_parity,crypto,risk_parity,0.3531959713709709,0.7878512601511914,0.7823922921912327,-0.8043662357341357,0.003070925621912973,2021-01-02,2023-12-31,1094,36
equity_equal_weight,equity,equal_weight,0.13183410303230847,0.16155927743297827,0.8474133465869584,-0.2032186262691359,0.0,2021-01-05,2023-12-29,752,36
equity_max_sharpe,equity,max_sharpe,0.11948743784247284,0.23635439378881445,0.5954476775743794,-0.3847107467731876,0.16107701257247478,2021-01-05,2023-12-29,752,36
equity_min_variance,equity,min_variance,0.06956140740005878,0.12794254006288777,0.5896130116650651,-0.18313016101253765,0.022335028991926915,2021-01-05,2023-12-29,752,36
equity_risk_parity,equity,risk_parity,0.10570753728390381,0.14980768374774803,0.745721019587464,-0.19560539174599945,0.0022871332350603655,2021-01-05,2023-12-29,752,36
