asset_family,method,covariance_estimator,annualised_return,annualised_volatility,sharpe,max_drawdown,turnover,first_oos_date,last_oos_date,n_oos_days,n_rebalances,baseline_annualised_return,baseline_annualised_volatility,baseline_sharpe,baseline_max_drawdown,delta_annualised_return,delta_annualised_volatility,delta_sharpe,delta_max_drawdown
combined,max_sharpe,ledoit_wolf,0.09198340367139468,0.3591316654545814,0.4238936432568639,-0.5288174497728559,0.1524806311552009,2021-01-05,2023-12-29,752,36,0.09654009705631883,0.35276564386476755,0.4368385479848022,-0.5263845923894116,-0.004556693384924149,0.006366021589813864,-0.0129449047279383,-0.0024328573834443423
combined,max_sharpe,sample,0.09654009705631883,0.35276564386476755,0.4368385479848022,-0.5263845923894116,0.15593139365672765,2021-01-05,2023-12-29,752,36,0.09654009705631883,0.35276564386476755,0.4368385479848022,-0.5263845923894116,0.0,0.0,0.0,0.0
combined,min_variance,ledoit_wolf,0.06729259903953921,0.1267651273206432,0.5771387781924032,-0.175781768203499,0.029892329725994943,2021-01-05,2023-12-29,752,36,0.06959462076901901,0.1275154875267672,0.5914019320903471,-0.17931983305057175,-0.0023020217294797973,-0.0007503602061239845,-0.014263153897943859,0.0035380648470727527
combined,min_variance,sample,0.06959462076901901,0.1275154875267672,0.5914019320903471,-0.17931983305057175,0.03113555519197155,2021-01-05,2023-12-29,752,36,0.06959462076901901,0.1275154875267672,0.5914019320903471,-0.17931983305057175,0.0,0.0,0.0,0.0
crypto,max_sharpe,ledoit_wolf,0.18604938666023574,0.7958665323575489,0.6156081674828409,-0.849066648741843,0.05650745343733123,2021-01-02,2023-12-31,1094,36,0.15065515348880232,0.7944194963536896,0.577165853907785,-0.8486149530269681,0.03539423317143342,0.0014470360038593144,0.0384423135750559,-0.0004516957148749112
crypto,max_sharpe,sample,0.15065515348880232,0.7944194963536896,0.577165853907785,-0.8486149530269681,0.06902212865904268,2021-01-02,2023-12-31,1094,36,0.15065515348880232,0.7944194963536896,0.577165853907785,-0.8486149530269681,0.0,0.0,0.0,0.0
crypto,min_variance,ledoit_wolf,0.33757055088022336,0.657349842850188,0.7721845487492869,-0.7506852923933635,0.028902072442612958,2021-01-02,2023-12-31,1094,36,0.24999515393612204,0.6505750269811424,0.6688094213264328,-0.7560117062611891,0.08757539694410132,0.006774815869045603,0.10337512742285404,0.005326413867825619
crypto,min_variance,sample,0.24999515393612204,0.6505750269811424,0.6688094213264328,-0.7560117062611891,0.022503930691948396,2021-01-02,2023-12-31,1094,36,0.24999515393612204,0.6505750269811424,0.6688094213264328,-0.7560117062611891,0.0,0.0,0.0,0.0
equity,max_sharpe,ledoit_wolf,0.1293082961394605,0.2357165858352522,0.6334538680326693,-0.379953634055869,0.1309480128543371,2021-01-05,2023-12-29,752,36,0.1253961688070402,0.23559957335565582,0.6189122233080654,-0.37915805794824164,0.003912127332420301,0.00011701247959639005,0.014541644724603953,-0.0007955761076273715
equity,max_sharpe,sample,0.1253961688070402,0.23559957335565582,0.6189122233080654,-0.37915805794824164,0.1367333874080543,2021-01-05,2023-12-29,752,36,0.1253961688070402,0.23559957335565582,0.6189122233080654,-0.37915805794824164,0.0,0.0,0.0,0.0
equity,min_variance,ledoit_wolf,0.06846932046875742,0.12700169744895426,0.5849815517732009,-0.17646095311646992,0.030080327002590293,2021-01-05,2023-12-29,752,36,0.0695946289566296,0.12751548633327492,0.5914019964710313,-0.17931983361439907,-0.0011253084878721786,-0.0005137888843206595,-0.00642044469783043,0.0028588804979291504
equity,min_variance,sample,0.0695946289566296,0.12751548633327492,0.5914019964710313,-0.17931983361439907,0.031135550188245962,2021-01-05,2023-12-29,752,36,0.0695946289566296,0.12751548633327492,0.5914019964710313,-0.17931983361439907,0.0,0.0,0.0,0.0
